Question,Answer
"Что нужно сделать в случае утери банковской карты?","Срочно заблокируйте карту: найдите её в СберБанк Онлайн и нажмите «Заблокировать». После этого банк выпустит новую карту."
"Как поступить, если утерял свою дебетовую или кредитную карту?","Срочно заблокируйте карту: найдите её в СберБанк Онлайн и нажмите «Заблокировать». После этого банк выпустит новую карту."
"Какие действия предпринять, если потерял свою банковскую карту?","Срочно заблокируйте карту: найдите её в СберБанк Онлайн и нажмите «Заблокировать». После этого банк выпустит новую карту."
"Как получить доступ к СберБанк Онлайн?","Чтобы подключить СберБанк Онлайн: Получите карту СберБанка с подключённым СМС-банком. Зарегистрируйтесь."
"Как зарегистрироваться в СберБанк Онлайн?","Чтобы подключить СберБанк Онлайн: Получите карту СберБанка с подключённым СМС-банком. Зарегистрируйтесь."
"Как получить доступ к интернет-банкингу СберБанка?","Чтобы подключить СберБанк Онлайн: Получите карту СберБанка с подключённым СМС-банком. Зарегистрируйтесь."
"Как начать пользоваться СберБанк Онлайн?","Чтобы подключить СберБанк Онлайн: Получите карту СберБанка с подключённым СМС-банком. Зарегистрируйтесь."
"Как зайти в личный кабинет СберБанк Онлайн?","Чтобы подключить СберБанк Онлайн: Получите карту СберБанка с подключённым СМС-банком. Зарегистрируйтесь."
"Как зарегистрироваться и авторизоваться в приложении СберБанк Онлайн","Чтобы подключить СберБанк Онлайн: Получите карту СберБанка с подключённым СМС-банком. Зарегистрируйтесь."
"Как узнать график работы офиса банка?","Чтобы узнать время работы офиса банка, найдите его на карте."
"Как узнать время работы офиса банка?","Чтобы узнать время работы офиса банка, найдите его на карте."
"Какие способы доступны для получения информации о времени работы банковского отделения?","Чтобы узнать время работы офиса банка, найдите его на карте."
"Где можно найти информацию о часах работы ближайшего банковского офиса?","Чтобы узнать время работы офиса банка, найдите его на карте."
"Как узнать расписание работы отделения банка?","Чтобы узнать время работы офиса банка, найдите его на карте."
"Как получить актуальное время работы офиса выбранного банка?","Чтобы узнать время работы офиса банка, найдите его на карте."
"Сколько карта будет ждать меня в офисе банка?","Дебетовая карта будет ждать вас шесть месяцев со дня доставки. Если не забрать карту, по истечении этого времени её уничтожат. Кредитная карта будет ждать вас 30 дней, а после перевыпуска — четыре месяца."
"Сколько времени будет ожидать в офисе банка моя новая карта?","Дебетовая карта будет ждать вас шесть месяцев со дня доставки. Если не забрать карту, по истечении этого времени её уничтожат. Кредитная карта будет ждать вас 30 дней, а после перевыпуска — четыре месяца."
"Как долго моя карта будет ждать меня в банковском отделении?","Дебетовая карта будет ждать вас шесть месяцев со дня доставки. Если не забрать карту, по истечении этого времени её уничтожат. Кредитная карта будет ждать вас 30 дней, а после перевыпуска — четыре месяца."
"Как узнать, сколько времени моя карта будет готова к выдаче в офисе банка?","Дебетовая карта будет ждать вас шесть месяцев со дня доставки. Если не забрать карту, по истечении этого времени её уничтожат. Кредитная карта будет ждать вас 30 дней, а после перевыпуска — четыре месяца."
"Какой срок ожидания моей карты в банковском филиале?","Дебетовая карта будет ждать вас шесть месяцев со дня доставки. Если не забрать карту, по истечении этого времени её уничтожат. Кредитная карта будет ждать вас 30 дней, а после перевыпуска — четыре месяца."
"Как узнать, когда моя карта будет доступна для получения в офисе банка?","Дебетовая карта будет ждать вас шесть месяцев со дня доставки. Если не забрать карту, по истечении этого времени её уничтожат. Кредитная карта будет ждать вас 30 дней, а после перевыпуска — четыре месяца."
"Для чего мне оформлять страхование карты?","Технологии безопасности защищают деньги на вашей карте при платежах в магазинах и в интернете. Но есть и другие риски, от которых защищает страховка: кража или потеря карты; случайные повреждения карты;  кража наличных денег после того, как вы снимете их в банкомате (страховка действует в течение 2-х часов после снятия). В этом случае вы получите всю сумму в пределах страхового покрытия"
"Какие преимущества предоставляет страхование карты?","Технологии безопасности защищают деньги на вашей карте при платежах в магазинах и в интернете. Но есть и другие риски, от которых защищает страховка: кража или потеря карты; случайные повреждения карты;  кража наличных денег после того, как вы снимете их в банкомате (страховка действует в течение 2-х часов после снятия). В этом случае вы получите всю сумму в пределах страхового покрытия"
"Зачем мне нужно оформить страхование для моей банковской карты?","Технологии безопасности защищают деньги на вашей карте при платежах в магазинах и в интернете. Но есть и другие риски, от которых защищает страховка: кража или потеря карты; случайные повреждения карты;  кража наличных денег после того, как вы снимете их в банкомате (страховка действует в течение 2-х часов после снятия). В этом случае вы получите всю сумму в пределах страхового покрытия"
"Какие риски покрывает страхование карты, и почему оно важно?","Технологии безопасности защищают деньги на вашей карте при платежах в магазинах и в интернете. Но есть и другие риски, от которых защищает страховка: кража или потеря карты; случайные повреждения карты;  кража наличных денег после того, как вы снимете их в банкомате (страховка действует в течение 2-х часов после снятия). В этом случае вы получите всю сумму в пределах страхового покрытия"
"Как страхование карты может защитить меня от финансовых потерь?","Технологии безопасности защищают деньги на вашей карте при платежах в магазинах и в интернете. Но есть и другие риски, от которых защищает страховка: кража или потеря карты; случайные повреждения карты;  кража наличных денег после того, как вы снимете их в банкомате (страховка действует в течение 2-х часов после снятия). В этом случае вы получите всю сумму в пределах страхового покрытия"
"Каковы основные причины оформления страхования для моей кредитной или дебетовой карты?","Технологии безопасности защищают деньги на вашей карте при платежах в магазинах и в интернете. Но есть и другие риски, от которых защищает страховка: кража или потеря карты; случайные повреждения карты;  кража наличных денег после того, как вы снимете их в банкомате (страховка действует в течение 2-х часов после снятия). В этом случае вы получите всю сумму в пределах страхового покрытия"
"Что обязательно должно быть в доверенности?","1. Слово «Доверенность» 2. Дата и место выдачи доверенности (город или страна) 3. Ваши личные данные: ФИО (полностью) серия, номер и дата выдачи паспорта или другого документа, удостоверяющего личность наименование органа, выдавшего документ код подразделения (если есть) дата и место рождения адрес места жительства (регистрации) или места пребывания Помните, что в доверенности должны быть данные, которые вы уже предоставляли в СберБанк. 4. Личные данные доверенного лица: ФИО (полностью) серия, номер и дата выдачи паспорта или другого документа, удостоверяющего личность наименование органа, выдавшего документ код подразделения (если есть)  дата и место рождения адрес места жительства (регистрации) или места пребывания Если данные в доверенности и в документе, удостоверяющем личность, не совпадают, понадобится документ, подтверждающий изменения данных доверенного лица. 5. Полномочия доверенного лица. 6. Срок действия доверенности. Доверенность действует в течение 1 года, если не указан другой срок. 7. Подпись доверителя. 8. Должность, подпись нотариуса или иного лица, удостоверившего доверенность, и оттиск печати (при наличии)."
"Какие ключевые элементы должны быть включены в доверенность?","1. Слово «Доверенность» 2. Дата и место выдачи доверенности (город или страна) 3. Ваши личные данные: ФИО (полностью) серия, номер и дата выдачи паспорта или другого документа, удостоверяющего личность наименование органа, выдавшего документ код подразделения (если есть) дата и место рождения адрес места жительства (регистрации) или места пребывания Помните, что в доверенности должны быть данные, которые вы уже предоставляли в СберБанк. 4. Личные данные доверенного лица: ФИО (полностью) серия, номер и дата выдачи паспорта или другого документа, удостоверяющего личность наименование органа, выдавшего документ код подразделения (если есть)  дата и место рождения адрес места жительства (регистрации) или места пребывания Если данные в доверенности и в документе, удостоверяющем личность, не совпадают, понадобится документ, подтверждающий изменения данных доверенного лица. 5. Полномочия доверенного лица. 6. Срок действия доверенности. Доверенность действует в течение 1 года, если не указан другой срок. 7. Подпись доверителя. 8. Должность, подпись нотариуса или иного лица, удостоверившего доверенность, и оттиск печати (при наличии)."
"Что обязательно нужно указать в доверенности для ее действительности?","1. Слово «Доверенность» 2. Дата и место выдачи доверенности (город или страна) 3. Ваши личные данные: ФИО (полностью) серия, номер и дата выдачи паспорта или другого документа, удостоверяющего личность наименование органа, выдавшего документ код подразделения (если есть) дата и место рождения адрес места жительства (регистрации) или места пребывания Помните, что в доверенности должны быть данные, которые вы уже предоставляли в СберБанк. 4. Личные данные доверенного лица: ФИО (полностью) серия, номер и дата выдачи паспорта или другого документа, удостоверяющего личность наименование органа, выдавшего документ код подразделения (если есть)  дата и место рождения адрес места жительства (регистрации) или места пребывания Если данные в доверенности и в документе, удостоверяющем личность, не совпадают, понадобится документ, подтверждающий изменения данных доверенного лица. 5. Полномочия доверенного лица. 6. Срок действия доверенности. Доверенность действует в течение 1 года, если не указан другой срок. 7. Подпись доверителя. 8. Должность, подпись нотариуса или иного лица, удостоверившего доверенность, и оттиск печати (при наличии)."
"Какие обязательные сведения должны содержаться в доверенности?","1. Слово «Доверенность» 2. Дата и место выдачи доверенности (город или страна) 3. Ваши личные данные: ФИО (полностью) серия, номер и дата выдачи паспорта или другого документа, удостоверяющего личность наименование органа, выдавшего документ код подразделения (если есть) дата и место рождения адрес места жительства (регистрации) или места пребывания Помните, что в доверенности должны быть данные, которые вы уже предоставляли в СберБанк. 4. Личные данные доверенного лица: ФИО (полностью) серия, номер и дата выдачи паспорта или другого документа, удостоверяющего личность наименование органа, выдавшего документ код подразделения (если есть)  дата и место рождения адрес места жительства (регистрации) или места пребывания Если данные в доверенности и в документе, удостоверяющем личность, не совпадают, понадобится документ, подтверждающий изменения данных доверенного лица. 5. Полномочия доверенного лица. 6. Срок действия доверенности. Доверенность действует в течение 1 года, если не указан другой срок. 7. Подпись доверителя. 8. Должность, подпись нотариуса или иного лица, удостоверившего доверенность, и оттиск печати (при наличии)."
"Какие пункты необходимы для составления юридически корректной доверенности?","1. Слово «Доверенность» 2. Дата и место выдачи доверенности (город или страна) 3. Ваши личные данные: ФИО (полностью) серия, номер и дата выдачи паспорта или другого документа, удостоверяющего личность наименование органа, выдавшего документ код подразделения (если есть) дата и место рождения адрес места жительства (регистрации) или места пребывания Помните, что в доверенности должны быть данные, которые вы уже предоставляли в СберБанк. 4. Личные данные доверенного лица: ФИО (полностью) серия, номер и дата выдачи паспорта или другого документа, удостоверяющего личность наименование органа, выдавшего документ код подразделения (если есть)  дата и место рождения адрес места жительства (регистрации) или места пребывания Если данные в доверенности и в документе, удостоверяющем личность, не совпадают, понадобится документ, подтверждающий изменения данных доверенного лица. 5. Полномочия доверенного лица. 6. Срок действия доверенности. Доверенность действует в течение 1 года, если не указан другой срок. 7. Подпись доверителя. 8. Должность, подпись нотариуса или иного лица, удостоверившего доверенность, и оттиск печати (при наличии)."
"Что обязательно должно присутствовать в тексте доверенности?","1. Слово «Доверенность» 2. Дата и место выдачи доверенности (город или страна) 3. Ваши личные данные: ФИО (полностью) серия, номер и дата выдачи паспорта или другого документа, удостоверяющего личность наименование органа, выдавшего документ код подразделения (если есть) дата и место рождения адрес места жительства (регистрации) или места пребывания Помните, что в доверенности должны быть данные, которые вы уже предоставляли в СберБанк. 4. Личные данные доверенного лица: ФИО (полностью) серия, номер и дата выдачи паспорта или другого документа, удостоверяющего личность наименование органа, выдавшего документ код подразделения (если есть)  дата и место рождения адрес места жительства (регистрации) или места пребывания Если данные в доверенности и в документе, удостоверяющем личность, не совпадают, понадобится документ, подтверждающий изменения данных доверенного лица. 5. Полномочия доверенного лица. 6. Срок действия доверенности. Доверенность действует в течение 1 года, если не указан другой срок. 7. Подпись доверителя. 8. Должность, подпись нотариуса или иного лица, удостоверившего доверенность, и оттиск печати (при наличии)."
"Какие операции можно совершать по доверенности?","С необходимыми полномочиями по нотариальной доверенности можно: оформить основную дебетовую карту: подробнее об оформлении (ссылка на вопрос «Можно ли оформить дебетовую карту по доверенности?»); получить дебетовую карту Momentum; получить новую или перевыпущенную дебетовую карту; оформить дополнительную дебетовую карту; пополнить дебетовую карту или счёт дебетовой карты; получать информацию, выписки и справки по счёту дебетовой карты в любом офисе СберБанка; получить наличные со счёта дебетовой карты без её использования; оформить заявление на перевыпуск дебетовой карты; оформить заявление на закрытие счёта дебетовой карты. Если доверитель хочет передать полномочия по банковскому индивидуальному сейфу, можно предоставить доступ своему доверенному лицу, оформив дополнительное соглашение к договору в отделении СберБанка. Необходимые полномочия по нотариальной доверенности дают право на: распоряжение счетами и вкладами доступ к имуществу, хранящемуся в индивидуальным сейфе получение банковской карты и ПИН-конверта получение наследства погашение кредитов "
"Какие действия можно выполнять по доверенности?","С необходимыми полномочиями по нотариальной доверенности можно: оформить основную дебетовую карту: подробнее об оформлении (ссылка на вопрос «Можно ли оформить дебетовую карту по доверенности?»); получить дебетовую карту Momentum; получить новую или перевыпущенную дебетовую карту; оформить дополнительную дебетовую карту; пополнить дебетовую карту или счёт дебетовой карты; получать информацию, выписки и справки по счёту дебетовой карты в любом офисе СберБанка; получить наличные со счёта дебетовой карты без её использования; оформить заявление на перевыпуск дебетовой карты; оформить заявление на закрытие счёта дебетовой карты. Если доверитель хочет передать полномочия по банковскому индивидуальному сейфу, можно предоставить доступ своему доверенному лицу, оформив дополнительное соглашение к договору в отделении СберБанка. Необходимые полномочия по нотариальной доверенности дают право на: распоряжение счетами и вкладами доступ к имуществу, хранящемуся в индивидуальным сейфе получение банковской карты и ПИН-конверта получение наследства погашение кредитов "
"Какие операции разрешены по доверенности?","С необходимыми полномочиями по нотариальной доверенности можно: оформить основную дебетовую карту: подробнее об оформлении (ссылка на вопрос «Можно ли оформить дебетовую карту по доверенности?»); получить дебетовую карту Momentum; получить новую или перевыпущенную дебетовую карту; оформить дополнительную дебетовую карту; пополнить дебетовую карту или счёт дебетовой карты; получать информацию, выписки и справки по счёту дебетовой карты в любом офисе СберБанка; получить наличные со счёта дебетовой карты без её использования; оформить заявление на перевыпуск дебетовой карты; оформить заявление на закрытие счёта дебетовой карты. Если доверитель хочет передать полномочия по банковскому индивидуальному сейфу, можно предоставить доступ своему доверенному лицу, оформив дополнительное соглашение к договору в отделении СберБанка. Необходимые полномочия по нотариальной доверенности дают право на: распоряжение счетами и вкладами доступ к имуществу, хранящемуся в индивидуальным сейфе получение банковской карты и ПИН-конверта получение наследства погашение кредитов "
"Какие права и возможности дает доверенность для совершения операций?","С необходимыми полномочиями по нотариальной доверенности можно: оформить основную дебетовую карту: подробнее об оформлении (ссылка на вопрос «Можно ли оформить дебетовую карту по доверенности?»); получить дебетовую карту Momentum; получить новую или перевыпущенную дебетовую карту; оформить дополнительную дебетовую карту; пополнить дебетовую карту или счёт дебетовой карты; получать информацию, выписки и справки по счёту дебетовой карты в любом офисе СберБанка; получить наличные со счёта дебетовой карты без её использования; оформить заявление на перевыпуск дебетовой карты; оформить заявление на закрытие счёта дебетовой карты. Если доверитель хочет передать полномочия по банковскому индивидуальному сейфу, можно предоставить доступ своему доверенному лицу, оформив дополнительное соглашение к договору в отделении СберБанка. Необходимые полномочия по нотариальной доверенности дают право на: распоряжение счетами и вкладами доступ к имуществу, хранящемуся в индивидуальным сейфе получение банковской карты и ПИН-конверта получение наследства погашение кредитов "
"Какие виды операций можно осуществлять, имея доверенность?","С необходимыми полномочиями по нотариальной доверенности можно: оформить основную дебетовую карту: подробнее об оформлении (ссылка на вопрос «Можно ли оформить дебетовую карту по доверенности?»); получить дебетовую карту Momentum; получить новую или перевыпущенную дебетовую карту; оформить дополнительную дебетовую карту; пополнить дебетовую карту или счёт дебетовой карты; получать информацию, выписки и справки по счёту дебетовой карты в любом офисе СберБанка; получить наличные со счёта дебетовой карты без её использования; оформить заявление на перевыпуск дебетовой карты; оформить заявление на закрытие счёта дебетовой карты. Если доверитель хочет передать полномочия по банковскому индивидуальному сейфу, можно предоставить доступ своему доверенному лицу, оформив дополнительное соглашение к договору в отделении СберБанка. Необходимые полномочия по нотариальной доверенности дают право на: распоряжение счетами и вкладами доступ к имуществу, хранящемуся в индивидуальным сейфе получение банковской карты и ПИН-конверта получение наследства погашение кредитов "
"Какие действия можно осуществлять по доверенности в рамках банковских операций?","С необходимыми полномочиями по нотариальной доверенности можно: оформить основную дебетовую карту: подробнее об оформлении (ссылка на вопрос «Можно ли оформить дебетовую карту по доверенности?»); получить дебетовую карту Momentum; получить новую или перевыпущенную дебетовую карту; оформить дополнительную дебетовую карту; пополнить дебетовую карту или счёт дебетовой карты; получать информацию, выписки и справки по счёту дебетовой карты в любом офисе СберБанка; получить наличные со счёта дебетовой карты без её использования; оформить заявление на перевыпуск дебетовой карты; оформить заявление на закрытие счёта дебетовой карты. Если доверитель хочет передать полномочия по банковскому индивидуальному сейфу, можно предоставить доступ своему доверенному лицу, оформив дополнительное соглашение к договору в отделении СберБанка. Необходимые полномочия по нотариальной доверенности дают право на: распоряжение счетами и вкладами доступ к имуществу, хранящемуся в индивидуальным сейфе получение банковской карты и ПИН-конверта получение наследства погашение кредитов "
"Как платить бонусами СПАСИБО?","Если платите в магазине, уточните у продавца или кассира, принимаются ли к оплате бонусы СПАСИБО. Если да, назовите сумму бонусов, которую вы собираетесь использовать, и оплатите со скидкой. Если платите в интернет-магазине, в форме оплаты укажите сумму бонусов, которую хотите использовать. Обратите внимание: бонусами нельзя оплатить коммунальные услуги, а также услуги связи и интернет. Узнать, где принимают к оплате бонусы, можно на сайте программы «Спасибо от Сбербанка»"
"Как использовать бонусы СПАСИБО для оплаты покупок?","Если платите в магазине, уточните у продавца или кассира, принимаются ли к оплате бонусы СПАСИБО. Если да, назовите сумму бонусов, которую вы собираетесь использовать, и оплатите со скидкой. Если платите в интернет-магазине, в форме оплаты укажите сумму бонусов, которую хотите использовать. Обратите внимание: бонусами нельзя оплатить коммунальные услуги, а также услуги связи и интернет. Узнать, где принимают к оплате бонусы, можно на сайте программы «Спасибо от Сбербанка»"
"Какие шаги нужно предпринять, чтобы оплатить покупку бонусами СПАСИБО?","Если платите в магазине, уточните у продавца или кассира, принимаются ли к оплате бонусы СПАСИБО. Если да, назовите сумму бонусов, которую вы собираетесь использовать, и оплатите со скидкой. Если платите в интернет-магазине, в форме оплаты укажите сумму бонусов, которую хотите использовать. Обратите внимание: бонусами нельзя оплатить коммунальные услуги, а также услуги связи и интернет. Узнать, где принимают к оплате бонусы, можно на сайте программы «Спасибо от Сбербанка»"
"Как применить бонусы СПАСИБО при совершении оплаты?","Если платите в магазине, уточните у продавца или кассира, принимаются ли к оплате бонусы СПАСИБО. Если да, назовите сумму бонусов, которую вы собираетесь использовать, и оплатите со скидкой. Если платите в интернет-магазине, в форме оплаты укажите сумму бонусов, которую хотите использовать. Обратите внимание: бонусами нельзя оплатить коммунальные услуги, а также услуги связи и интернет. Узнать, где принимают к оплате бонусы, можно на сайте программы «Спасибо от Сбербанка»"
"Как можно использовать бонусы СПАСИБО для расчета за товары и услуги?","Если платите в магазине, уточните у продавца или кассира, принимаются ли к оплате бонусы СПАСИБО. Если да, назовите сумму бонусов, которую вы собираетесь использовать, и оплатите со скидкой. Если платите в интернет-магазине, в форме оплаты укажите сумму бонусов, которую хотите использовать. Обратите внимание: бонусами нельзя оплатить коммунальные услуги, а также услуги связи и интернет. Узнать, где принимают к оплате бонусы, можно на сайте программы «Спасибо от Сбербанка»"
"Что нужно сделать, чтобы оплатить товары или услуги бонусами СПАСИБО?","Если платите в магазине, уточните у продавца или кассира, принимаются ли к оплате бонусы СПАСИБО. Если да, назовите сумму бонусов, которую вы собираетесь использовать, и оплатите со скидкой. Если платите в интернет-магазине, в форме оплаты укажите сумму бонусов, которую хотите использовать. Обратите внимание: бонусами нельзя оплатить коммунальные услуги, а также услуги связи и интернет. Узнать, где принимают к оплате бонусы, можно на сайте программы «Спасибо от Сбербанка»"
"Как открыть брокерский счёт","Брокерский счет можно открыть дистанционно через мобильное приложение или интернет-банк СберБанк Онлайн"
"Какие шаги нужно предпринять для открытия брокерского счёта?","Брокерский счет можно открыть дистанционно через мобильное приложение или интернет-банк СберБанк Онлайн"
"Как открыть брокерский счёт в банке или инвестиционной компании?","Брокерский счет можно открыть дистанционно через мобильное приложение или интернет-банк СберБанк Онлайн"
"Какие документы необходимы для открытия брокерского счёта?","Брокерский счет можно открыть дистанционно через мобильное приложение или интернет-банк СберБанк Онлайн"
"Как зарегистрировать брокерский счёт для торговли на фондовом рынке?","Брокерский счет можно открыть дистанционно через мобильное приложение или интернет-банк СберБанк Онлайн"
"Что нужно сделать, чтобы начать пользоваться брокерским счётом?","Брокерский счет можно открыть дистанционно через мобильное приложение или интернет-банк СберБанк Онлайн"
